id,value,category
0,0.032862788304079044,B
1,0.9008760917119261,A
2,0.39380635438557937,C
3,1.658165264646103,B
4,0.3053387681134792,A
5,0.8902172413864241,D
6,-0.945693572432616,D
7,0.3072985524553293,A
8,0.42238576109788306,A
9,1.032115128791063,A
10,-0.2113861570364843,B
11,1.828300292259493,A
12,-0.31277947211008633,D
13,0.4953366336056834,C
14,-1.537356091051462,D
15,-0.732478094797281,B
16,-0.8063237136743969,D
17,-0.19537687218288183,A
18,-0.7523749555301941,D
19,-0.36737181596337176,B
20,0.5452100137035517,D
21,-1.1492389924012074,D
22,-0.7627932717745647,D
23,-0.39629253542614384,C
24,-1.2600299982476761,B
25,2.3250461883701092,A
26,1.4086081954351868,C
27,0.7879364056498044,B
28,0.5280891721179457,D
29,-0.010218280732497925,C
30,0.41059723257766123,B
31,-1.55101943478528,A
32,-0.1509591064575317,C
33,0.6673944033808049,D
34,0.007546540827036945,D
35,1.0510294103715012,C
36,1.3775089289518916,D
37,-0.702877049292146,A
38,1.809319923420946,B
39,-1.10950993349935,A
40,0.11514554172092828,A
41,-2.077881486415506,C
42,0.5850729728515413,D
43,-0.23378497129801648,B
44,-0.6092937314071948,B
45,-0.06716956473107202,D
46,-0.28581940723726346,C
47,-0.16150871416875479,D
48,-0.08536734486353466,B
49,-1.1378657673857768,A
50,0.43228338330107186,C
51,-0.814016636399862,C
52,0.5298149154173187,B
53,-1.2469354120584497,A
54,0.4290823377738779,B
55,-0.6167330291516455,C
56,2.1935285283562838,B
57,-0.9216331406986569,B
58,2.781953078414962,C
59,-1.1077545082966143,A
60,-0.9681558591643623,B
61,-2.1213320979517802,D
62,0.5149955425608812,B
63,-0.9016101921791436,B
64,-0.5058159832151183,D
65,0.0004151931740048671,B
66,-0.264022424984776,D
67,-0.2095754218331321,C
68,-0.3196733153306303,D
69,0.36556226204329156,B
70,-0.313927439404097,D
71,-1.2334272702710725,B
72,0.25234751220331425,B
73,-0.6063065587538756,C
74,1.1661493596041295,C
75,0.713173841472466,D
76,0.38546616908086234,D
77,-1.3666677566512913,D
78,1.5836154555743618,A
79,-0.21866958189225463,B
80,-1.371389883692164,B
81,-0.21559581700160446,B
82,-1.9794663809955366,A
83,0.33532922053864606,A
84,0.3771748801417019,B
85,-0.05243333889389571,D
86,0.7778333180353342,B
87,-0.9279322127315893,B
88,-0.40009047368786627,C
89,-0.4500083300466189,D
90,1.5262338929389292,D
91,-0.2537606623168546,B
92,-0.42617697997955556,C
93,-1.1165053063430488,D
94,-1.2231442820604244,D
95,-0.37194355484968966,D
96,0.38570493510601317,D
97,1.124892194725181,C
98,1.2454836706469339,D
99,-0.5888091354453303,C
100,1.1475114922941547,A
101,0.7843625142675479,D
102,-0.22208815061445877,D
103,-0.6586481329524869,B
104,2.571204554962559,B
105,1.6832893273558875,D
106,0.9637388548542901,A
107,1.0323226868971764,B
108,0.19450956042065407,A
109,0.37924222594310897,B
110,0.2262233769627919,A
111,0.36895670034029043,D
112,-1.053269715375815,B
113,-1.6309243074629372,C
114,0.6876884507974202,A
115,0.009613982286800854,C
116,1.0427325609819804,A
117,0.20639688341758305,D
118,-1.4809332450412234,C
119,-0.17314819362008282,B
120,1.1179067360098072,B
121,-0.04902988445977333,A
122,0.9139823085399319,D
123,-0.0941215785259344,C
124,0.30716912256250023,C
125,-0.18072519792388334,A
126,0.6157734625596014,A
127,-0.019285459616938762,D
128,0.07666227140236628,D
129,1.5894366201527912,A
130,-1.3093085287979385,A
131,-0.22315541379549877,A
132,0.9246103819529965,C
133,1.2186811821350574,B
134,0.8811964379496005,B
135,0.23607509652468536,C
136,-0.16330339447106001,A
137,-1.3600583021962644,B
138,0.9332279079151153,C
139,0.8036083550391482,A
140,-0.5966015343246313,D
141,-0.6251230572064185,C
142,-0.5518330328223681,A
143,0.9753551157421465,B
144,-2.5401029567691333,D
145,0.3427425221994706,A
146,-0.3518408910867367,C
147,-1.912304627220726,A
148,1.357548707595721,B
149,-0.6850441950869762,B
150,-0.5196384451086784,D
151,1.220571917113887,C
152,0.43334236924068653,B
153,0.6739962139351435,A
154,-0.6271402278539169,A
155,0.5887242091158297,A
156,0.37448587277494294,A
157,1.1885560566875981,A
158,0.48129860075324127,B
159,-0.8012504025386069,D
160,-0.8691339360720401,B
161,-1.8863583694018067,B
162,-0.4474633248059503,A
163,1.4067609320436765,C
164,-0.9169347887680757,A
165,0.9993393663770943,C
166,1.1338760773734555,A
167,-0.7191712783435472,A
168,-1.2338159310507195,B
169,-0.8581546545497934,C
170,0.09246351233935587,D
171,-0.1605704334881346,A
172,0.15496116627424816,C
173,-0.3872906250660612,B
174,0.40523234658646995,A
175,0.9653741872663059,B
176,1.3820130090761276,A
177,0.12258161982953511,B
178,0.15316980897991508,C
179,-0.8983900541035432,B
180,-0.7361414549039316,B
181,0.3548261416658295,A
182,-1.3464316112133545,C
183,1.2577759113526141,A
184,-0.48408250822237997,D
185,-0.3867529961823776,A
186,-0.5155301148776721,D
187,1.8587514118271384,C
188,-0.649205692555825,D
189,0.3487115006322315,C
190,1.8984211519177778,A
191,0.6928121952412296,B
192,-1.2736248706767515,C
193,0.03052917763974603,A
194,-1.2061341312617588,B
195,0.29390583319598074,B
196,-0.06487018529918923,B
197,1.200785351617127,B
198,-0.8441023312891464,A
199,-0.5815540141217382,B
200,0.5623503758393539,D
201,-1.1227333331825917,B
202,-0.1365609963512986,A
203,-1.6822750057515237,D
204,0.6177963091511768,C
205,1.1110589392387353,A
206,1.3343483713165085,B
207,0.9252897563200375,A
208,-0.11105395678816643,B
209,1.6608637939184097,A
210,-1.0068999296334638,A
211,-1.509315316557095,A
212,-0.9646622720655631,C
213,1.2549622505168576,B
214,0.5411356379251118,C
215,-0.19748095819330092,A
216,0.3851249602795389,A
217,0.3971932772946138,D
218,0.10225688687684069,C
219,1.1418424624087693,B
220,-0.010808988312422671,B
221,-1.1379942149354974,B
222,-0.6285630049509578,C
223,-0.8583620496247656,C
224,1.4892999316674338,D
225,1.0690385268151648,A
226,0.06263150042467722,A
227,0.41084838676815777,C
228,0.8398883994833384,D
229,-0.9731620257231505,D
230,-0.8502034930923934,A
231,-1.5226040153254192,C
232,-0.8972610478847708,B
233,-0.5716975379486001,C
234,-0.3582595040361639,C
235,-0.3969972884421901,B
236,-0.5297579045559258,A
237,2.262653613971251,D
238,0.3884353421152981,B
239,-0.8919822565269556,A
240,-0.566311163460725,B
241,0.47603392190315014,D
242,1.1249053717801996,A
243,-1.1989191683957554,D
244,1.4678719040662107,C
245,0.8480248034322665,B
246,-0.2512905551248034,C
247,1.1071067223450977,C
248,-2.2283811029476057,C
249,0.4121499588138574,A
250,2.412984227441602,D
251,-1.093378110177667,B
252,-0.011389906737754722,C
253,0.203992220416666,A
254,1.2621964163100325,D
255,0.9150807248074116,A
256,1.5682382688782055,B
257,2.027551951686648,C
258,1.5272432274222016,D
259,0.5505077464380136,B
260,-0.5208893642260825,D
261,-1.4655196514255875,A
262,1.293199836862882,A
263,-0.6964945484896705,B
264,0.808149700424767,C
265,-1.3733914879047888,C
266,0.5096974867513169,B
267,-0.6397670086856043,A
268,1.155857483273253,A
269,0.8967660443974301,B
270,-0.29769797791473446,B
271,-0.9036951770117329,C
272,-0.001169465784957094,D
273,1.5072764861154255,A
274,0.7308422283212002,C
275,0.04512408923742316,D
276,-0.43174154675707765,C
277,0.5908409559741826,D
278,0.5006676828469496,B
279,-0.3284571591480341,D
280,0.9126151818649274,B
281,0.07924107967965284,D
282,-0.024196080856236656,C
283,0.2842260952197254,A
284,-0.9183201738057257,C
285,0.402653696486463,D
286,-0.11511809197531006,A
287,1.1048241927233609,B
288,0.3316976035914811,B
289,0.11710033814839692,D
290,-0.4146492280174841,B
291,0.618736928763586,C
292,-1.2798471676798517,A
293,0.3917774251449658,A
294,0.7799158366070654,C
295,-0.6835479682233907,C
296,0.07486193831201512,B
297,1.4737426179523883,D
298,0.5472687545352963,B
299,1.686415125025162,C
300,0.8825500997687589,D
301,-0.8115183533596053,B
302,0.4853587983015145,A
303,-0.7138306876806052,A
304,-1.0706210094137352,C
305,-0.19781518024307643,D
306,-2.2218184013403763,D
307,-1.0918969438351183,A
308,1.007939266831106,B
309,0.14499567527635898,B
310,-0.9609069335423421,B
311,0.10019828239857376,C
312,0.6809091839598008,A
313,0.30392574392726274,D
314,-0.629550871662508,B
315,0.6998330004326653,D
316,1.0797006561876024,B
317,-0.34836867345093825,B
318,1.1333049543783094,B
319,1.9729340496240557,B
320,-2.2154062900375275,D
321,1.35931067676435,D
322,-0.32460160952966444,A
323,2.2060028795922784,A
324,-1.7979760925404922,A
325,-0.3299967022018255,A
326,1.7531632370347452,B
327,-1.568613874229573,B
328,1.3916521473752161,D
329,2.8379075832060283,B
330,2.3395849717188186,C
331,0.2581435272064164,A
332,1.4844526551564634,D
333,-0.39491835991578633,B
334,0.8091286406803045,A
335,0.5289880398259275,C
